HEADER
This file contains the velocity map parameters and stable surface errors for the glacier site described below.
Point of Contact: Jukes Liu; Boise State University; jukes.liu@gmail.com

Area of Interest = South Rimo Glacier
"GeoTiff Extents: 710968.1417999999830499,3901441.9879999998956919; 741968.1417999999830499, 3924541.9879999998956919"
EPSG:32643 (WGS84 / UTM Zone 43N)
Latitude: 35.32085
Longitude: 77.45604

Variables:
ds1 = first image date [yyyy-mm-dd]
ds2 = second image date [yyyy-mm-dd]
min_chip_size = cross-correlation chip size [meters]
"sat = satellite platform (S2 = Sentinel-2, LS = Landsat, PS = PlanetScope)"
dt_days= date separation between images [days]
data_percent = percentage of pixels within the glacier outline that contain data values [0 to 100]
err_vx = stable surface error for x-component of velocity [meters/year]
err_vy = stable surface error for y-component of velocity [meters/year]
err_v = stable surface error for speed [meters/year]
mid_date = date midpoint of the image pair [yyyy-mm-dd]
filename = name of the geotiff file containing the velocity maps

row, ds1, ds2, min_chip_size, sat, dt_days, data_percent, err_vx, err_vy, err_v, mid_date, filename
END HEADER
0,2021-01-04 00:00:00,2021-01-09 00:00:00,100,S2,5,76,69.80022008035782,173.27350939286734,186.8041212056458,2021-01-06 12:00:00,NSIDC-0801_SR_20210104-20210109_vm_S2_V01.0.tif
1,2020-11-11 00:00:00,2020-11-26 00:00:00,100,PS,15,56,95.64809523639636,106.44125873527388,143.10241001427593,2020-11-18 12:00:00,NSIDC-0801_SR_20201111-20201126_vm_PS_V01.0.tif
2,2022-07-24 00:00:00,2022-08-09 00:00:00,100,LS,16,68,12.364368268661057,10.49116621636466,16.215491773516128,2022-08-01 00:00:00,NSIDC-0801_SR_20220724-20220809_vm_LS_V01.0.tif
3,2021-01-31 00:00:00,2021-02-19 00:00:00,100,PS,19,81,64.48701527860938,65.48133115543482,91.90418843791689,2021-02-09 12:00:00,NSIDC-0801_SR_20210131-20210219_vm_PS_V01.0.tif
4,2020-02-17 00:00:00,2020-03-04 00:00:00,100,LS,16,98,18.420320153782747,23.122404066061303,29.562709089970664,2020-02-25 00:00:00,NSIDC-0801_SR_20200217-20200304_vm_LS_V01.0.tif
5,2021-01-09 00:00:00,2021-01-14 00:00:00,100,S2,5,76,71.85268692552717,124.30180633832995,143.57488501482572,2021-01-11 12:00:00,NSIDC-0801_SR_20210109-20210114_vm_S2_V01.0.tif
6,2022-04-11 00:00:00,2022-04-19 00:00:00,100,LS,8,89,33.75585233604449,25.73525458722224,42.4471543206073,2022-04-15 00:00:00,NSIDC-0801_SR_20220411-20220419_vm_LS_V01.0.tif
7,2020-08-08 00:00:00,2020-08-22 00:00:00,100,PS,14,36,92.58350730589694,89.33473157280254,128.6561311962383,2020-08-15 00:00:00,NSIDC-0801_SR_20200808-20200822_vm_PS_V01.0.tif
8,2021-05-26 00:00:00,2021-06-11 00:00:00,100,LS,16,58,56.30356376110312,52.19138146059071,76.77259667358501,2021-06-03 00:00:00,NSIDC-0801_SR_20210526-20210611_vm_LS_V01.0.tif
