HEADER
This file contains the velocity map parameters and stable surface errors for the glacier site described below.
Point of Contact: Jukes Liu; Boise State University; jukes.liu@gmail.com

Area of Interest = Medvezhiy Glacier
"GeoTiff Extents: 770971.5659000000450760, 4277951.2978999996557832; 785271.5659000000450760, 4288551.2978999996557832"
EPSG:32642 (WGS84 / UTM Zone 42N)
Latitude: 38.645166
Longitude: 72.200011

Variables:
ds1 = first image date [yyyy-mm-dd]
ds2 = second image date [yyyy-mm-dd]
min_chip_size = cross-correlation chip size [meters]
"sat = satellite platform (S2 = Sentinel-2, LS = Landsat, PS = PlanetScope)"
dt_days= date separation between images [days]
data_percent = percentage of pixels within the glacier outline that contain data values [0 to 100]
err_vx = stable surface error for x-component of velocity [meters/year]
err_vy = stable surface error for y-component of velocity [meters/year]
err_v = stable surface error for speed [meters/year]
mid_date = date midpoint of the image pair [yyyy-mm-dd]
filename = name of the geotiff file containing the velocity maps

row, ds1, ds2, min_chip_size, sat, dt_days, data_percent, err_vx, err_vy, err_v, mid_date, filename
END HEADER
0,2020-10-15 00:00:00,2020-10-30 00:00:00,100,S2,15,79,51.76495592,134.2913721,143.922838,2020-10-22 12:00:00,NSIDC-0801_MZ_20201015-20201030_vm_S2_V01.0.tif
1,2022-09-29 00:00:00,2022-10-15 00:00:00,100,LS,16,81,99.94979061,143.3648277,174.7667985,2022-10-07 00:00:00,NSIDC-0801_MZ_20220929-20221015_vm_LS_V01.0.tif
2,2021-06-07 00:00:00,2021-06-24 00:00:00,100,PS,17,56,80.95357878,78.75715275,112.9432204,2021-06-15 12:00:00,NSIDC-0801_MZ_20210607-20210624_vm_PS_V01.0.tif
3,2021-10-15 00:00:00,2021-10-30 00:00:00,100,S2,15,71,42.38240323,68.01700289,80.14100543,2021-10-22 12:00:00,NSIDC-0801_MZ_20211015-20211030_vm_S2_V01.0.tif
4,2020-08-01 00:00:00,2020-08-16 00:00:00,100,S2,15,63,48.6488066,31.95292337,58.20391474,2020-08-08 12:00:00,NSIDC-0801_MZ_20200801-20200816_vm_S2_V01.0.tif
5,2019-08-12 00:00:00,2019-08-28 00:00:00,100,LS,16,98,21.05075197,27.21003363,34.40232689,2019-08-20 00:00:00,NSIDC-0801_MZ_20190812-20190828_vm_LS_V01.0.tif
6,2022-08-28 00:00:00,2022-09-13 00:00:00,100,LS,16,46,252.3006212,252.7700458,357.1390498,2022-09-05 00:00:00,NSIDC-0801_MZ_20220828-20220913_vm_LS_V01.0.tif
7,2020-01-23 00:00:00,2020-02-09 00:00:00,100,PS,17,41,97.91370376,70.39228995,120.5909112,2020-01-31 12:00:00,NSIDC-0801_MZ_20200123-20200209_vm_PS_V01.0.tif
8,2021-08-20 00:00:00,2021-09-03 00:00:00,100,PS,14,73,113.7686566,170.8747268,205.2838995,2021-08-27 00:00:00,NSIDC-0801_MZ_20210820-20210903_vm_PS_V01.0.tif
